670
CHINI, Galileo
CHWISTEK, Leon
CLARK, Kenneth
CLAYETTE, Pierre
CLEMENS, Roman
CMELIĆ, Milan
COCTEAU, Jean
COLASANTI, Arduino
COLLALTO, Orlando di
COLOMBO, Franjo
COLONELLO, Attilio
COPLEY, Alfred L.
COSTA, Lúcio
COUSINS, Harold
COUTURIER, Robert
CRAIG, Edward Gordon
CREMER, Fritz
CRNILOVIĆ, Hristofor
CSÁKY, József
CSÓK, István
CURTIUS, Ludwig
CVJETKOVIĆ, Božo
CZAJKOWSKI, Stanisłav
CZAPSKI, Józef
ČELIĆ, Džemal
ČERNE, Peter
ČOBAL, Ivan
ČURIĆ, Mirko
DABAC, Tošo
